,potential,finishing,short_passing,volleys,dribbling,long_passing,ball_control,reactions,shot_power,long_shots,interceptions,positioning,vision,standing_tackle,sliding_tackle,overall_rating
24443,74.0,40.0,67.0,32.0,57.0,62.0,70.0,67.0,59.0,50.0,59.0,38.0,44.0,73.0,73.0,70.0
24444,81.0,72.0,78.0,73.0,73.0,70.0,76.0,73.0,76.0,70.0,64.0,72.0,77.0,33.0,42.0,74.0
24445,86.0,72.0,87.0,80.0,86.0,78.0,88.0,83.0,74.0,77.0,60.0,82.0,86.0,64.0,70.0,84.0
24446,79.0,52.0,80.0,45.0,71.0,81.0,74.0,69.0,61.0,68.0,63.0,69.0,77.0,65.0,46.0,74.0
24447,64.0,61.0,66.0,64.0,62.0,64.0,62.0,54.0,70.0,71.0,71.0,58.0,52.0,62.0,61.0,64.0
24448,62.0,26.0,49.0,12.0,14.0,41.0,59.0,55.0,26.0,26.0,56.0,19.0,45.0,59.0,57.0,63.0
24449,75.0,56.0,67.0,34.0,62.0,59.0,64.0,73.0,57.0,48.0,50.0,66.0,67.0,59.0,67.0,65.0
24450,73.0,62.0,66.0,51.0,68.0,68.0,73.0,68.0,71.0,62.0,66.0,70.0,61.0,73.0,77.0,73.0
24451,76.0,73.0,71.0,61.0,67.0,67.0,67.0,72.0,86.0,77.0,76.0,75.0,64.0,64.0,68.0,69.0
24452,78.0,41.0,73.0,52.0,67.0,71.0,73.0,73.0,64.0,55.0,82.0,51.0,64.0,76.0,77.0,75.0
24453,79.0,60.0,65.0,54.0,75.0,59.0,72.0,69.0,60.0,42.0,37.0,66.0,66.0,33.0,30.0,67.0
24454,63.0,59.0,64.0,58.0,58.0,66.0,61.0,72.0,61.0,60.0,62.0,56.0,64.0,62.0,55.0,63.0
24455,73.0,21.0,66.0,19.0,40.0,58.0,59.0,55.0,56.0,48.0,55.0,56.0,49.0,68.0,72.0,64.0
24456,76.0,57.0,68.0,34.0,60.0,71.0,69.0,56.0,49.0,42.0,66.0,44.0,54.0,72.0,63.0,65.0
24457,90.0,21.0,66.0,67.0,62.0,61.0,68.0,69.0,55.0,38.0,54.0,64.0,74.0,69.0,78.0,68.0
24458,68.0,64.0,66.0,63.0,69.0,62.0,71.0,63.0,66.0,67.0,41.0,66.0,66.0,27.0,37.0,67.0
24459,66.0,68.0,55.0,63.0,56.0,47.0,53.0,61.0,69.0,60.0,38.0,76.0,52.0,51.0,37.0,66.0
24460,66.0,48.0,68.0,66.0,60.0,69.0,64.0,69.0,77.0,74.0,64.0,60.0,55.0,63.0,67.0,66.0
24461,72.0,25.0,58.0,21.0,34.0,57.0,49.0,67.0,27.0,23.0,67.0,68.0,58.0,59.0,59.0,63.0
24462,72.0,55.0,74.0,69.0,68.0,71.0,71.0,70.0,65.0,68.0,40.0,60.0,65.0,57.0,50.0,66.0
24463,67.0,52.0,55.0,58.0,43.0,27.0,52.0,50.0,52.0,50.0,47.0,52.0,65.0,21.0,25.0,51.0
24464,80.0,62.0,75.0,52.0,78.0,51.0,67.0,66.0,66.0,65.0,18.0,52.0,55.0,30.0,25.0,70.0
24465,73.0,66.0,62.0,40.0,63.0,57.0,66.0,49.0,63.0,61.0,25.0,55.0,59.0,25.0,25.0,61.0
24466,89.0,69.0,75.0,75.0,82.0,81.0,85.0,71.0,79.0,84.0,69.0,73.0,80.0,40.0,22.0,82.0
24467,71.0,33.0,66.0,28.0,66.0,58.0,62.0,67.0,61.0,39.0,67.0,55.0,34.0,71.0,72.0,69.0
24468,66.0,63.0,48.0,60.0,64.0,33.0,65.0,60.0,65.0,55.0,41.0,66.0,54.0,29.0,20.0,65.0
24469,77.0,72.0,77.0,69.0,82.0,72.0,82.0,80.0,80.0,75.0,56.0,76.0,76.0,40.0,43.0,77.0
24470,80.0,42.0,73.0,46.0,67.0,77.0,73.0,72.0,61.0,62.0,74.0,80.0,71.0,77.0,80.0,77.0
24471,84.0,70.0,72.0,72.0,84.0,55.0,82.0,70.0,84.0,74.0,30.0,74.0,64.0,24.0,20.0,75.0
24472,73.0,63.0,76.0,68.0,77.0,68.0,77.0,72.0,70.0,71.0,30.0,70.0,77.0,22.0,21.0,73.0
24473,77.0,69.0,65.0,63.0,76.0,47.0,77.0,74.0,85.0,64.0,35.0,72.0,61.0,24.0,20.0,72.0
24474,71.0,60.0,70.0,61.0,60.0,80.0,65.0,67.0,80.0,74.0,80.0,61.0,56.0,68.0,63.0,71.0
24475,73.0,39.0,70.0,61.0,64.0,72.0,70.0,68.0,65.0,68.0,60.0,58.0,70.0,64.0,64.0,68.0
24476,77.0,33.0,63.0,27.0,43.0,51.0,56.0,66.0,74.0,64.0,71.0,29.0,58.0,74.0,79.0,74.0
24477,63.0,10.0,24.0,8.0,11.0,32.0,30.0,24.0,20.0,17.0,24.0,12.0,34.0,14.0,7.0,63.0
24478,73.0,14.0,34.0,11.0,13.0,33.0,18.0,70.0,17.0,13.0,24.0,15.0,14.0,13.0,12.0,73.0
24479,72.0,25.0,25.0,25.0,25.0,21.0,25.0,56.0,21.0,25.0,21.0,25.0,25.0,25.0,25.0,62.0
24480,71.0,58.0,73.0,58.0,73.0,69.0,74.0,71.0,62.0,57.0,52.0,68.0,73.0,58.0,49.0,69.0
24481,83.0,62.0,83.0,62.0,78.0,76.0,82.0,84.0,64.0,60.0,82.0,85.0,80.0,75.0,70.0,79.0
24482,77.0,22.0,59.0,35.0,35.0,44.0,62.0,66.0,48.0,40.0,67.0,70.0,53.0,71.0,70.0,71.0
24483,84.0,81.0,82.0,81.0,76.0,69.0,82.0,76.0,79.0,76.0,84.0,82.0,75.0,43.0,41.0,80.0
24484,64.0,23.0,54.0,29.0,47.0,53.0,51.0,44.0,53.0,32.0,54.0,39.0,34.0,64.0,61.0,59.0
24485,78.0,28.0,72.0,24.0,22.0,65.0,68.0,65.0,72.0,43.0,83.0,80.0,66.0,74.0,69.0,73.0
24486,64.0,49.0,61.0,41.0,63.0,53.0,62.0,57.0,59.0,48.0,34.0,57.0,45.0,66.0,61.0,61.0
24487,84.0,65.0,62.0,62.0,80.0,53.0,77.0,62.0,74.0,62.0,22.0,67.0,64.0,20.0,24.0,72.0
24488,67.0,64.0,71.0,46.0,47.0,62.0,60.0,64.0,67.0,57.0,74.0,72.0,74.0,64.0,62.0,65.0
24489,80.0,68.0,77.0,62.0,86.0,71.0,79.0,68.0,76.0,74.0,63.0,68.0,78.0,51.0,60.0,78.0
24490,63.0,42.0,57.0,40.0,54.0,55.0,58.0,60.0,38.0,34.0,60.0,55.0,58.0,58.0,56.0,57.0
24491,74.0,73.0,64.0,72.0,69.0,54.0,70.0,69.0,77.0,70.0,24.0,73.0,57.0,25.0,25.0,71.0
24492,83.0,93.0,79.0,77.0,75.0,74.0,87.0,80.0,75.0,82.0,87.0,94.0,71.0,31.0,14.0,82.0
24493,70.0,60.0,55.0,50.0,66.0,45.0,68.0,60.0,64.0,58.0,25.0,60.0,42.0,25.0,25.0,62.0
24494,72.0,56.0,58.0,53.0,64.0,41.0,55.0,63.0,52.0,48.0,13.0,48.0,51.0,22.0,12.0,55.0
24495,66.0,34.0,65.0,43.0,56.0,65.0,62.0,67.0,56.0,47.0,70.0,55.0,56.0,70.0,68.0,66.0
24496,77.0,50.0,76.0,54.0,68.0,72.0,73.0,73.0,67.0,60.0,78.0,62.0,66.0,78.0,70.0,75.0
24497,67.0,25.0,50.0,25.0,37.0,54.0,48.0,61.0,55.0,38.0,70.0,25.0,25.0,71.0,67.0,67.0
24498,72.0,60.0,74.0,54.0,67.0,71.0,71.0,78.0,75.0,66.0,68.0,61.0,74.0,77.0,68.0,72.0
24499,66.0,67.0,66.0,65.0,58.0,41.0,62.0,68.0,70.0,48.0,14.0,75.0,60.0,29.0,17.0,66.0
24500,74.0,76.0,77.0,63.0,73.0,69.0,76.0,74.0,74.0,69.0,23.0,76.0,74.0,30.0,27.0,74.0
24501,82.0,63.0,70.0,60.0,84.0,66.0,82.0,77.0,71.0,65.0,61.0,76.0,74.0,60.0,52.0,78.0
24502,72.0,70.0,72.0,68.0,68.0,74.0,74.0,70.0,91.0,78.0,68.0,72.0,70.0,73.0,66.0,72.0
24503,70.0,59.0,61.0,59.0,75.0,49.0,71.0,59.0,62.0,57.0,26.0,64.0,69.0,28.0,24.0,67.0
24504,67.0,61.0,64.0,54.0,67.0,57.0,68.0,58.0,71.0,57.0,29.0,66.0,49.0,32.0,22.0,65.0
24505,78.0,10.0,33.0,28.0,11.0,56.0,23.0,75.0,61.0,11.0,30.0,20.0,60.0,28.0,41.0,73.0
24506,84.0,71.0,64.0,67.0,71.0,47.0,72.0,66.0,70.0,63.0,29.0,70.0,57.0,33.0,24.0,69.0
24507,81.0,81.0,61.0,72.0,80.0,35.0,77.0,74.0,76.0,75.0,22.0,72.0,56.0,25.0,21.0,76.0
24508,68.0,54.0,67.0,59.0,66.0,66.0,70.0,65.0,71.0,60.0,58.0,66.0,66.0,55.0,59.0,66.0
24509,62.0,31.0,51.0,74.0,58.0,35.0,56.0,43.0,44.0,24.0,32.0,38.0,69.0,22.0,37.0,44.0
24510,71.0,67.0,76.0,63.0,68.0,73.0,72.0,73.0,73.0,63.0,72.0,64.0,70.0,72.0,69.0,71.0
24511,85.0,76.0,81.0,69.0,87.0,74.0,87.0,76.0,79.0,81.0,43.0,76.0,82.0,41.0,40.0,82.0
24512,75.0,71.0,64.0,52.0,72.0,61.0,74.0,74.0,79.0,73.0,22.0,77.0,58.0,21.0,18.0,71.0
24513,81.0,60.0,75.0,58.0,86.0,67.0,80.0,76.0,62.0,62.0,67.0,75.0,78.0,48.0,42.0,77.0
24514,63.0,25.0,26.0,25.0,25.0,23.0,25.0,41.0,22.0,25.0,22.0,25.0,25.0,25.0,25.0,56.0
24515,77.0,43.0,68.0,46.0,64.0,55.0,65.0,56.0,77.0,70.0,69.0,44.0,51.0,68.0,67.0,68.0
24516,78.0,23.0,60.0,18.0,15.0,64.0,61.0,72.0,23.0,26.0,60.0,42.0,48.0,70.0,73.0,68.0
24517,72.0,39.0,69.0,35.0,56.0,68.0,63.0,63.0,76.0,72.0,63.0,59.0,67.0,72.0,68.0,66.0
24518,72.0,68.0,76.0,66.0,80.0,72.0,80.0,66.0,72.0,70.0,28.0,72.0,66.0,38.0,30.0,72.0
24519,72.0,42.0,71.0,42.0,62.0,63.0,68.0,55.0,62.0,49.0,63.0,51.0,62.0,67.0,65.0,66.0
24520,66.0,45.0,71.0,31.0,42.0,66.0,59.0,56.0,64.0,56.0,54.0,34.0,40.0,62.0,71.0,66.0
24521,72.0,54.0,67.0,59.0,66.0,67.0,70.0,64.0,71.0,60.0,43.0,69.0,65.0,38.0,43.0,68.0
24522,79.0,60.0,83.0,65.0,78.0,78.0,82.0,74.0,64.0,62.0,79.0,70.0,83.0,31.0,29.0,73.0
24523,64.0,24.0,52.0,25.0,25.0,55.0,50.0,65.0,25.0,25.0,61.0,41.0,39.0,59.0,57.0,64.0
24524,78.0,66.0,57.0,59.0,85.0,52.0,81.0,79.0,63.0,71.0,29.0,72.0,67.0,35.0,23.0,73.0
24525,69.0,72.0,65.0,69.0,52.0,47.0,68.0,70.0,75.0,56.0,30.0,70.0,66.0,31.0,28.0,69.0
